symbol,cik,accession,okres,data_zlozenia,akceptacja_et,klasa,sesja_reakcji,znacznik_json,json_zgodny
NVDA,1045810,0001045810-19-000077,2019-05-16,2019-05-16,2019-05-16 16:22:47,AMC,2019-05-17,2019-05-16T20:22:47.000Z,tak
AVGO,1730168,0001193125-19-172516,2019-06-11,2019-06-13,2019-06-13 16:23:31,AMC,2019-06-14,2019-06-13T20:23:31.000Z,tak
TSLA,1318605,0001564590-19-024414,2019-07-02,2019-07-02,2019-07-02 16:22:57,AMC,2019-07-03,2019-07-02T20:22:57.000Z,tak
MSFT,789019,0001193125-19-196501,2019-07-18,2019-07-18,2019-07-18 16:03:33,AMC,2019-07-19,2019-07-18T16:03:33.000Z,NIE
META,1326801,0001326801-19-000053,2019-07-24,2019-07-24,2019-07-24 16:27:15,AMC,2019-07-25,2019-07-24T20:27:15.000Z,tak
TSLA,1318605,0001564590-19-025855,2019-07-24,2019-07-24,2019-07-24 16:56:43,AMC,2019-07-25,2019-07-24T20:56:43.000Z,tak
GOOGL,1652044,0001652044-19-000021,2019-07-25,2019-07-25,2019-07-25 16:01:22,AMC,2019-07-26,2019-07-25T20:01:22.000Z,tak
AMZN,1018724,0001018724-19-000069,2019-07-25,2019-07-25,2019-07-25 16:33:27,AMC,2019-07-26,2019-07-25T20:33:27.000Z,tak
AAPL,320193,0000320193-19-000073,2019-07-30,2019-07-30,2019-07-30 16:30:36,AMC,2019-07-31,2019-07-30T20:30:36.000Z,tak
NVDA,1045810,0001045810-19-000140,2019-08-15,2019-08-15,2019-08-15 16:27:50,AMC,2019-08-16,2019-08-15T20:27:50.000Z,tak
AVGO,1730168,0001193125-19-243919,2019-09-12,2019-09-12,2019-09-12 16:25:03,AMC,2019-09-13,2019-09-12T20:25:03.000Z,tak
TSLA,1318605,0001564590-19-036274,2019-09-26,2019-10-02,2019-10-02 17:26:27,AMC,2019-10-03,2019-10-02T21:26:27.000Z,tak
MSFT,789019,0001193125-19-272562,2019-10-23,2019-10-23,2019-10-23 16:06:06,AMC,2019-10-24,2019-10-23T16:06:06.000Z,NIE
TSLA,1318605,0001564590-19-037581,2019-10-23,2019-10-23,2019-10-23 17:25:52,AMC,2019-10-24,2019-10-23T21:25:52.000Z,tak
AMZN,1018724,0001018724-19-000087,2019-10-24,2019-10-24,2019-10-24 19:53:55,AMC,2019-10-25,2019-10-24T23:53:55.000Z,tak
GOOGL,1652044,0001652044-19-000030,2019-10-28,2019-10-28,2019-10-28 16:03:38,AMC,2019-10-29,2019-10-28T20:03:38.000Z,tak
META,1326801,0001326801-19-000066,2019-10-27,2019-10-30,2019-10-30 16:13:02,AMC,2019-10-31,2019-10-30T20:13:02.000Z,tak
AAPL,320193,0000320193-19-000117,2019-10-30,2019-10-30,2019-10-30 16:30:40,AMC,2019-10-31,2019-10-30T20:30:40.000Z,tak
NVDA,1045810,0001045810-19-000168,2019-11-14,2019-11-14,2019-11-14 16:21:53,AMC,2019-11-15,2019-11-14T21:21:53.000Z,tak
AVGO,1730168,0001193125-19-312797,2019-12-10,2019-12-12,2019-12-12 16:39:14,AMC,2019-12-13,2019-12-12T21:39:14.000Z,tak
TSLA,1318605,0001564590-20-000161,2020-01-03,2020-01-03,2020-01-03 08:21:52,BMO,2020-01-03,2020-01-03T13:21:52.000Z,tak
AAPL,320193,0000320193-20-000008,2020-01-28,2020-01-28,2020-01-28 16:30:40,AMC,2020-01-29,2020-01-28T21:30:40.000Z,tak
